,title,subtitle,link
35,CASINO DEALS,The best casino offers from free spins and bonus cash to no deposit deals,https://www.thesun.co.uk/sport/betting-tips/15779007/online-casino-deals-new-customer-sign-up-bonus/
36,NATHAN WARNING,Man City tell Chelsea they won’t get £50m Ake cheaply as Blues eye defenders,https://www.thesun.co.uk/sport/football/19070810/nathan-ake-chelsea-man-city-transfer-warning/
37,VIN IT TO WIN IT,Real Madrid's Vinicius Jr 'to sign new deal' including £1B release clause,https://www.thesun.co.uk/sport/19070534/real-madrid-vinicius-jr-new-deal-1billion-release-clause/
38,IN THE MONEY,Raphinha set for bumper £40K-a-week pay rise after snubbing Chelsea for Barca,https://www.thesun.co.uk/sport/19071013/raphinha-barcelona-chelsea-pay-rise/
39,KAL TO ARMS,Phillips spotted in Manchester for his Man City medical ahead of £45m transfer,https://www.thesun.co.uk/sport/football/19059104/kalvin-phillips-arrives-manchester-man-city-medical/
40,RON THE WAY,Arsenal blow as Aaron Hickey to sign for Brentford in £14m deal from Bologna,https://www.thesun.co.uk/sport/football/19038079/arsenal-aaron-hickey-blow-brentford-transfer/
41,FRENK STATEMENT,Barcelona tell targets Frenkie De Jong's Man Utd deal will raise funds,https://www.thesun.co.uk/sport/19070793/barcelona-frenkie-de-jong-manchester-united-raphinha/
42,TY HIM UP,Man Utd 'AGREE personal terms' with £15m Tyrell Malacia ahead of transfer,https://www.thesun.co.uk/sport/football/19065186/man-utd-feyenoord-tyrell-malacia-transfer/
43,CASE FOR THE DEFENCE,Chelsea interested in Kimpembe transfer as Tuchel targets PSG defender,https://www.thesun.co.uk/sport/19058453/chelsea-kimpembe-transfer-tuchel-targets-psg-star/
44,FREE 'N EASY,Best XI of free transfers your club could sign TODAY starring Pogba & Dybala,https://www.thesun.co.uk/sport/football/19059197/football-free-agents-best-transfers-paul-pogba-paulo-dybala/
45,STER CRAZY,Chelsea closing in on Sterling with £45m deal 'to be struck in coming days',https://www.thesun.co.uk/sport/19068076/chelsea-transfer-raheem-sterling-days/
46,ANTO-NO,Man Utd move for Antony looks set to collapse over Ajax's £70m transfer fee demands,https://www.thesun.co.uk/sport/19058422/man-utd-antony-collapse-ajaxs-70m-transfer-ten-hag/
47,GOING NEY-WHERE,Neymar activates PSG contract clause that extends stay for five YEARS,https://www.thesun.co.uk/sport/football/19065647/neymar-psg-chelsea/
48,MART MADE IN HEAVEN,Man Utd ‘make £39m offer’ for Lisandro Martinez to outbid Arsenal,https://www.thesun.co.uk/sport/football/19068804/man-united-martinez-arsenal/
